Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg), blank, blank, blank 
1611455671,Hilarys,SPOT-0093,1.63,14.62,9.54,260.26,17.54,257.37,24.63,4,-9999.0,4,-9999.0,4,2.80,217.00,-9999.00,-9999.00,-9999,-9999,-9999 
1611457471,Hilarys,SPOT-0093,1.62,14.62,9.34,255.94,19.65,254.35,25.31,1,-9999.0,4,-9999.0,4,3.20,222.00,-9999.00,-9999.00,-9999,-9999,-9999 
