Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg), blank, blank, blank 
1611453468.000000,ExmouthGulf,SPOT-0559,0.700000,8.520000,4.140000,330.681000,29.839000,251.241000,74.080000,4.000000,-9999.000000,4.000000,-9999.000000,4.000000,4.400000,148.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000 
1611455268.000000,ExmouthGulf,SPOT-0559,0.690000,8.520000,3.960000,325.335000,33.568000,233.011000,72.995000,4.000000,28.320000,4.000000,-9999.000000,4.000000,5.600000,177.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000 
