Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg), blank, blank, blank 
1610949600.000000,Torbay,Datawell,1.160000,13.330000,-9999.000000,204.395604,19.626374,-9999.000000,-9999.000000,4.000000,18.640000,4.000000,-9999.000000,-9999.000000,0.161000,293.538462,-9999.000000,-9999.000000,-9999.000000 
1610951400.000000,Torbay,Datawell,1.190000,13.330000,-9999.000000,207.824176,18.505495,-9999.000000,-9999.000000,1.000000,18.640000,1.000000,-9999.000000,-9999.000000,0.149000,304.703297,-9999.000000,-9999.000000,-9999.000000 
