Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg), blank, blank, blank 
1611451999.000000,Tantabiddi,SPOT-0558,1.220000,9.300000,6.480000,305.824000,42.246000,288.748000,53.399000,1.000000,-9999.000000,4.000000,-9999.000000,4.000000,4.400000,348.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000 
1611453799.000000,Tantabiddi,SPOT-0558,1.230000,10.240000,6.480000,284.844000,33.976000,287.863000,53.890000,1.000000,27.620000,1.000000,-9999.000000,4.000000,2.800000,257.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000 
1611451999.000000,Tantabiddi,SPOT-0558,1.220000,9.300000,6.480000,305.824000,42.246000,288.748000,53.399000,1.000000,-9999.000000,4.000000,-9999.000000,4.000000,4.400000,348.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000 
1611453799.000000,Tantabiddi,SPOT-0558,1.230000,10.240000,6.480000,284.844000,33.976000,287.863000,53.890000,1.000000,27.620000,27.620000,1.000000,1.000000,-9999.000000,-9999.000000,4.000000,4.000000,2.800000,257.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000 
1611451999.000000,Tantabiddi,SPOT-0558,1.220000,9.300000,6.480000,305.824000,42.246000,288.748000,53.399000,1.000000,-9999.000000,4.000000,-9999.000000,4.000000,4.400000,348.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000 
1611453799.000000,Tantabiddi,SPOT-0558,1.230000,10.240000,6.480000,284.844000,33.976000,287.863000,53.890000,1.000000,27.620000,27.620000,27.620000,1.000000,1.000000,1.000000,-9999.000000,-9999.000000,-9999.000000,4.000000,4.000000,4.000000,2.800000,257.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000 
