Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg) 
1613094807,Dampier,SPOT-0561,1.09,4.86,4.60,284.23,48.86,292.02,58.15,4,-9999.0,4,-9999.0,4,6.00,274.00,-9999.00,-9999.00 
1613096607,Dampier,SPOT-0561,1.09,5.12,4.68,289.89,46.59,301.13,56.03,4,29.1,4,-9999.0,4,6.00,285.00,-9999.00,-9999.00 
1613089407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.0,4,-9999.0,4,5.60,280.00,-9999.00,-9999.00 
1613091207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.60,274.00,-9999.00,-9999.00 
1613093007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,5.60,268.00,-9999.00,-9999.00 
1613094807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.00,274.00,-9999.00,-9999.00 
1613096607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,6.00,285.00,-9999.00,-9999.00 
1613098407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.00,285.00,-9999.00,-9999.00 
1613100207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,6.00,274.00,-9999.00,-9999.00 
1613102007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.00,302.00,-9999.00,-9999.00 
1613103807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.3,4,-9999.0,4,6.00,308.00,-9999.00,-9999.00 
1613105607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.20,314.00,-9999.00,-9999.00 
1613107407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.3,4,-9999.0,4,4.40,314.00,-9999.00,-9999.00 
