Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg) 
1612225407,Dampier,SPOT-0561,1.36,7.86,5.32,318.49,38.62,294.39,52.81,4,29.5,4,-9999.0,4,6.80,262.00,-9999.00,-9999.00 
1612227207,Dampier,SPOT-0561,1.36,7.86,5.18,328.75,40.97,293.00,56.55,4,-9999.0,4,-9999.0,4,7.20,268.00,-9999.00,-9999.00 
1612229007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.5,4,-9999.0,4,7.20,280.00,-9999.00,-9999.00 
1612230807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,280.00,-9999.00,-9999.00 
1612232607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.4,4,-9999.0,4,7.20,280.00,-9999.00,-9999.00 
1612234407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,7.20,291.00,-9999.00,-9999.00 
1612236207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.4,4,-9999.0,4,6.00,291.00,-9999.00,-9999.00 
1612238007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,7.20,285.00,-9999.00,-9999.00 
1612239807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.4,4,-9999.0,4,6.80,280.00,-9999.00,-9999.00 
1612241607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.80,291.00,-9999.00,-9999.00 
1612243407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.5,4,-9999.0,4,6.80,291.00,-9999.00,-9999.00 
1612245207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,7.60,308.00,-9999.00,-9999.00 
1612247007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.5,4,-9999.0,4,7.20,314.00,-9999.00,-9999.00 
1612248807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,314.00,-9999.00,-9999.00 
1612250607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.5,4,-9999.0,4,5.60,331.00,-9999.00,-9999.00 
1612252407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.80,337.00,-9999.00,-9999.00 
1612254207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.5,4,-9999.0,4,5.20,342.00,-9999.00,-9999.00 
1612256007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.00,342.00,-9999.00,-9999.00 
1612257807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.5,4,-9999.0,4,6.80,337.00,-9999.00,-9999.00 
1612259607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,285.00,-9999.00,-9999.00 
1612261407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.4,4,-9999.0,4,6.40,314.00,-9999.00,-9999.00 
1612263207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,325.00,-9999.00,-9999.00 
