Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg) 
1612209207,Dampier,SPOT-0561,1.56,7.30,5.12,305.08,30.44,287.83,48.29,4,-9999.0,4,-9999.0,4,6.00,274.00,-9999.00,-9999.00 
1612211007,Dampier,SPOT-0561,1.64,7.30,5.32,303.66,27.00,288.36,45.63,4,29.6,4,-9999.0,4,6.80,280.00,-9999.00,-9999.00 
1612212807,Dampier,SPOT-0561,1.52,7.30,5.10,305.67,34.89,291.01,49.12,4,-9999.0,4,-9999.0,4,6.40,268.00,-9999.00,-9999.00 
1612214607,Dampier,SPOT-0561,1.57,5.68,5.14,275.17,32.89,292.20,44.30,4,29.5,4,-9999.0,4,6.00,280.00,-9999.00,-9999.00 
1612216407,Dampier,SPOT-0561,1.50,7.30,5.06,310.78,29.78,293.20,46.55,4,-9999.0,4,-9999.0,4,5.20,262.00,-9999.00,-9999.00 
1612218207,Dampier,SPOT-0561,1.57,5.38,5.20,268.32,36.15,286.66,46.67,4,29.5,4,-9999.0,4,6.80,274.00,-9999.00,-9999.00 
1612220007,Dampier,SPOT-0561,1.54,7.30,5.16,304.59,29.84,284.11,43.36,4,-9999.0,4,-9999.0,4,7.20,262.00,-9999.00,-9999.00 
1612221807,Dampier,SPOT-0561,1.47,7.86,5.10,308.46,25.14,286.40,43.92,4,29.6,4,-9999.0,4,4.80,314.00,-9999.00,-9999.00 
1612223607,Dampier,SPOT-0561,1.43,7.30,5.04,303.25,35.86,284.87,46.79,4,-9999.0,4,-9999.0,4,6.00,280.00,-9999.00,-9999.00 
