Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg) 
1612484607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,4.00,297.00,-9999.00,-9999.00 
1612486407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.40,297.00,-9999.00,-9999.00 
1612488207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,4.80,308.00,-9999.00,-9999.00 
1612490007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.60,320.00,-9999.00,-9999.00 
1612491807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,5.20,314.00,-9999.00,-9999.00 
1612493607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.20,325.00,-9999.00,-9999.00 
1612495407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,4.80,320.00,-9999.00,-9999.00 
1612497207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.20,320.00,-9999.00,-9999.00 
1612499007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.3,4,-9999.0,4,5.60,308.00,-9999.00,-9999.00 
1612500807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.00,314.00,-9999.00,-9999.00 
1612502607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,6.40,297.00,-9999.00,-9999.00 
1612504407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.00,348.00,-9999.00,-9999.00 
1612506207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.3,4,-9999.0,4,6.40,34.00,-9999.00,-9999.00 
1612508007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.00,342.00,-9999.00,-9999.00 
1612509807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.3,4,-9999.0,4,5.60,0.00,-9999.00,-9999.00 
1612511607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.00,320.00,-9999.00,-9999.00 
1612513407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,6.00,280.00,-9999.00,-9999.00 
1612515207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.80,331.00,-9999.00,-9999.00 
1612517007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.3,4,-9999.0,4,5.60,331.00,-9999.00,-9999.00 
1612518807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.60,308.00,-9999.00,-9999.00 
1612520607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,8.40,320.00,-9999.00,-9999.00 
1612522407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,8.40,320.00,-9999.00,-9999.00 
1612524207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,7.60,320.00,-9999.00,-9999.00 
