Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg) 
1612571007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,5.20,308.00,-9999.00,-9999.00 
1612572807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,308.00,-9999.00,-9999.00 
1612574607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,5.60,291.00,-9999.00,-9999.00 
1612576407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.80,308.00,-9999.00,-9999.00 
1612578207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,6.40,320.00,-9999.00,-9999.00 
1612580007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,297.00,-9999.00,-9999.00 
1612581807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,6.00,302.00,-9999.00,-9999.00 
1612583607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.60,314.00,-9999.00,-9999.00 
1612585407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,5.20,314.00,-9999.00,-9999.00 
1612587207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,285.00,-9999.00,-9999.00 
1612589007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,6.40,285.00,-9999.00,-9999.00 
1612590807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.80,280.00,-9999.00,-9999.00 
1612592607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,7.20,291.00,-9999.00,-9999.00 
1612594407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,320.00,-9999.00,-9999.00 
1612596207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,6.00,302.00,-9999.00,-9999.00 
1612598007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.00,291.00,-9999.00,-9999.00 
1612599807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,6.40,308.00,-9999.00,-9999.00 
1612601607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.60,302.00,-9999.00,-9999.00 
1612603407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,6.40,302.00,-9999.00,-9999.00 
1612605207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.60,325.00,-9999.00,-9999.00 
1612607007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,4.80,348.00,-9999.00,-9999.00 
1612608807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.20,285.00,-9999.00,-9999.00 
1612610607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,6.00,302.00,-9999.00,-9999.00 
1612612407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.00,302.00,-9999.00,-9999.00 
1612614207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,5.60,308.00,-9999.00,-9999.00 
1612616007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,314.00,-9999.00,-9999.00 
1612617807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,5.20,314.00,-9999.00,-9999.00 
1612619607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,308.00,-9999.00,-9999.00 
