Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg) 
1612722207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,28.9,4,-9999.0,4,5.20,262.00,-9999.00,-9999.00 
1612724007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.40,291.00,-9999.00,-9999.00 
1612725807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,28.9,4,-9999.0,4,4.00,280.00,-9999.00,-9999.00 
1612727607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,262.00,-9999.00,-9999.00 
1612729407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,28.9,4,-9999.0,4,6.00,251.00,-9999.00,-9999.00 
1612731207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,251.00,-9999.00,-9999.00 
1612733007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,28.9,4,-9999.0,4,5.20,257.00,-9999.00,-9999.00 
1612734807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,268.00,-9999.00,-9999.00 
1612736607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,28.9,4,-9999.0,4,4.00,291.00,-9999.00,-9999.00 
1612738407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.20,280.00,-9999.00,-9999.00 
1612740207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.0,4,-9999.0,4,4.80,268.00,-9999.00,-9999.00 
1612742007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.40,222.00,-9999.00,-9999.00 
