Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg) 
1612916607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.0,4,-9999.0,4,6.00,171.00,-9999.00,-9999.00 
1612918407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,217.00,-9999.00,-9999.00 
1612920207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,6.80,222.00,-9999.00,-9999.00 
1612922007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.80,240.00,-9999.00,-9999.00 
1612923807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,7.20,205.00,-9999.00,-9999.00 
1612925607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.80,251.00,-9999.00,-9999.00 
1612927407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,7.60,251.00,-9999.00,-9999.00 
1612929207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,262.00,-9999.00,-9999.00 
1612931007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,7.60,268.00,-9999.00,-9999.00 
1612932807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,7.20,274.00,-9999.00,-9999.00 
1612934607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,6.00,325.00,-9999.00,-9999.00 
1612936407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,6.40,331.00,-9999.00,-9999.00 
1612938207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,6.40,280.00,-9999.00,-9999.00 
1612940007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,7.20,274.00,-9999.00,-9999.00 
1612941807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,7.60,274.00,-9999.00,-9999.00 
1612943607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,7.60,274.00,-9999.00,-9999.00 
