Time (UTC), Site, BuoyID, Hs (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, WindSpeed (m/s), WindDirec (deg), blank, blank, blank, blank, blank 
1610520721.000000,KingGeorgeSound,SPOT-0168,0.567000,11.378000,4.098000,73.520000,35.658000,78.633000,45.159000,1.000000,-9999.000000,4.000000,5.200000,85.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000 
1610524321.000000,KingGeorgeSound,SPOT-0168,0.595000,12.799000,4.175000,76.258000,33.289000,81.698000,44.345000,1.000000,-9999.000000,4.000000,5.200000,91.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000 
